age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lwri,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,2.552484629143669e-5,0.024876857439191855,6.936563554963899e-4,4.3942397802953535e-5,6980,Lwri,0,10,0,0,0,5,male_Lwri
1,male,2.552484629143669e-5,0.024876857439191855,6.936563554963899e-4,4.3942397802953535e-5,6980,Lwri,0,10,0,0,0,5,male_Lwri
2,male,2.552484629143669e-5,0.024876857439191855,6.936563554963899e-4,4.3942397802953535e-5,6980,Lwri,0,10,0,0,0,5,male_Lwri
3,male,2.552484629143669e-5,0.024876857439191855,6.936563554963899e-4,4.3942397802953535e-5,6980,Lwri,0,10,0,0,0,5,male_Lwri
4,male,2.552484629143669e-5,0.024876857439191855,6.936563554963899e-4,4.3942397802953535e-5,6980,Lwri,0,10,0,0,0,5,male_Lwri
5,male,1.872304790421679e-6,0.011129848339736464,2.658847222592974e-4,1.6939023831907163e-5,6917,Lwri,0,10,5,0,0,5,male_Lwri
6,male,1.872304790421679e-6,0.011129848339736464,2.658847222592974e-4,1.6939023831907163e-5,6917,Lwri,0,10,5,0,0,5,male_Lwri
7,male,1.872304790421679e-6,0.011129848339736464,2.658847222592974e-4,1.6939023831907163e-5,6917,Lwri,0,10,5,0,0,5,male_Lwri
8,male,1.872304790421679e-6,0.011129848339736464,2.658847222592974e-4,1.6939023831907163e-5,6917,Lwri,0,10,5,0,0,5,male_Lwri
9,male,1.872304790421679e-6,0.011129848339736464,2.658847222592974e-4,1.6939023831907163e-5,6917,Lwri,0,10,5,0,0,5,male_Lwri
10,male,1.9601814958174853e-6,0.006354882699617092,1.432453807478562e-4,9.175424240279265e-6,6234,Lwri,0,50,10,0,0,5,male_Lwri
11,male,1.9601814958174853e-6,0.006354882699617092,1.432453807478562e-4,9.175424240279265e-6,6234,Lwri,0,50,10,0,0,5,male_Lwri
12,male,1.9601814958174853e-6,0.006354882699617092,1.432453807478562e-4,9.175424240279265e-6,6234,Lwri,0,50,10,0,0,5,male_Lwri
13,male,1.9601814958174853e-6,0.006354882699617092,1.432453807478562e-4,9.175424240279265e-6,6234,Lwri,0,50,10,0,0,5,male_Lwri
14,male,1.9601814958174853e-6,0.006354882699617092,1.432453807478562e-4,9.175424240279265e-6,6234,Lwri,0,50,10,0,0,5,male_Lwri
15,male,2.4535253712898904e-6,0.005975313554682208,1.3275124724189242e-4,8.59047261048505e-6,6436,Lwri,0,50,15,0,0,5,male_Lwri
16,male,2.4535253712898904e-6,0.005975313554682208,1.3275124724189242e-4,8.59047261048505e-6,6436,Lwri,0,50,15,0,0,5,male_Lwri
17,male,2.4535253712898904e-6,0.005975313554682208,1.3275124724189242e-4,8.59047261048505e-6,6436,Lwri,0,50,15,0,0,5,male_Lwri
18,male,2.4535253712898904e-6,0.005975313554682208,1.3275124724189242e-4,8.59047261048505e-6,6436,Lwri,0,50,15,0,0,5,male_Lwri
19,male,2.4535253712898904e-6,0.005975313554682208,1.3275124724189242e-4,8.59047261048505e-6,6436,Lwri,0,50,15,0,0,5,male_Lwri
20,male,3.86002368558901e-6,0.00654805405845066,1.4206488692846677e-4,9.04383507609105e-6,7845,Lwri,0,50,20,0,0,5,male_Lwri
21,male,3.86002368558901e-6,0.00654805405845066,1.4206488692846677e-4,9.04383507609105e-6,7845,Lwri,0,50,20,0,0,5,male_Lwri
22,male,3.86002368558901e-6,0.00654805405845066,1.4206488692846677e-4,9.04383507609105e-6,7845,Lwri,0,50,20,0,0,5,male_Lwri
23,male,3.86002368558901e-6,0.00654805405845066,1.4206488692846677e-4,9.04383507609105e-6,7845,Lwri,0,50,20,0,0,5,male_Lwri
24,male,3.86002368558901e-6,0.00654805405845066,1.4206488692846677e-4,9.04383507609105e-6,7845,Lwri,0,50,20,0,0,5,male_Lwri
25,male,6.360339281614684e-6,0.007904967002156002,1.7083049176076103e-4,1.089225418627221e-5,9023,Lwri,0,50,25,0,0,5,male_Lwri
26,male,6.360339281614684e-6,0.007904967002156002,1.7083049176076103e-4,1.089225418627221e-5,9023,Lwri,0,50,25,0,0,5,male_Lwri
27,male,6.360339281614684e-6,0.007904967002156002,1.7083049176076103e-4,1.089225418627221e-5,9023,Lwri,0,50,25,0,0,5,male_Lwri
28,male,6.360339281614684e-6,0.007904967002156002,1.7083049176076103e-4,1.089225418627221e-5,9023,Lwri,0,50,25,0,0,5,male_Lwri
29,male,6.360339281614684e-6,0.007904967002156002,1.7083049176076103e-4,1.089225418627221e-5,9023,Lwri,0,50,25,0,0,5,male_Lwri
30,male,1.0399440501057888e-5,0.009110738625982351,1.9614317060987765e-4,1.2502852143255505e-5,8448,Lwri,0,50,30,0,0,5,male_Lwri
31,male,1.0399440501057888e-5,0.009110738625982351,1.9614317060987765e-4,1.2502852143255505e-5,8448,Lwri,0,50,30,0,0,5,male_Lwri
32,male,1.0399440501057888e-5,0.009110738625982351,1.9614317060987765e-4,1.2502852143255505e-5,8448,Lwri,0,50,30,0,0,5,male_Lwri
33,male,1.0399440501057888e-5,0.009110738625982351,1.9614317060987765e-4,1.2502852143255505e-5,8448,Lwri,0,50,30,0,0,5,male_Lwri
34,male,1.0399440501057888e-5,0.009110738625982351,1.9614317060987765e-4,1.2502852143255505e-5,8448,Lwri,0,50,30,0,0,5,male_Lwri
35,male,1.6416948580522667e-5,0.010355606287364063,2.222115202325207e-4,1.4065051283326657e-5,7997,Lwri,0,50,35,0,0,5,male_Lwri
36,male,1.6416948580522667e-5,0.010355606287364063,2.222115202325207e-4,1.4065051283326657e-5,7997,Lwri,0,50,35,0,0,5,male_Lwri
37,male,1.6416948580522667e-5,0.010355606287364063,2.222115202325207e-4,1.4065051283326657e-5,7997,Lwri,0,50,35,0,0,5,male_Lwri
38,male,1.6416948580522667e-5,0.010355606287364063,2.222115202325207e-4,1.4065051283326657e-5,7997,Lwri,0,50,35,0,0,5,male_Lwri
39,male,1.6416948580522667e-5,0.010355606287364063,2.222115202325207e-4,1.4065051283326657e-5,7997,Lwri,0,50,35,0,0,5,male_Lwri
40,male,3.3408889759217424e-5,0.011083641911657172,2.381864238471173e-4,1.4982133892250812e-5,7179,Lwri,0,50,40,0,0,5,male_Lwri
41,male,3.3408889759217424e-5,0.011083641911657172,2.381864238471173e-4,1.4982133892250812e-5,7179,Lwri,0,50,40,0,0,5,male_Lwri
42,male,3.3408889759217424e-5,0.011083641911657172,2.381864238471173e-4,1.4982133892250812e-5,7179,Lwri,0,50,40,0,0,5,male_Lwri
43,male,3.3408889759217424e-5,0.011083641911657172,2.381864238471173e-4,1.4982133892250812e-5,7179,Lwri,0,50,40,0,0,5,male_Lwri
44,male,3.3408889759217424e-5,0.011083641911657172,2.381864238471173e-4,1.4982133892250812e-5,7179,Lwri,0,50,40,0,0,5,male_Lwri
45,male,4.9911980422652884e-5,0.011381288703118688,2.4307780702434356e-4,1.5294142839876815e-5,7628,Lwri,0,50,45,0,0,5,male_Lwri
46,male,4.9911980422652884e-5,0.011381288703118688,2.4307780702434356e-4,1.5294142839876815e-5,7628,Lwri,0,50,45,0,0,5,male_Lwri
47,male,4.9911980422652884e-5,0.011381288703118688,2.4307780702434356e-4,1.5294142839876815e-5,7628,Lwri,0,50,45,0,0,5,male_Lwri
48,male,4.9911980422652884e-5,0.011381288703118688,2.4307780702434356e-4,1.5294142839876815e-5,7628,Lwri,0,50,45,0,0,5,male_Lwri
49,male,4.9911980422652884e-5,0.011381288703118688,2.4307780702434356e-4,1.5294142839876815e-5,7628,Lwri,0,50,45,0,0,5,male_Lwri
50,male,7.359682951952725e-5,0.01172977028540385,2.491436859895983e-4,1.5607570378867504e-5,7605,Lwri,0,50,50,0,1,5,male_Lwri
51,male,7.359682951952725e-5,0.01172977028540385,2.491436859895983e-4,1.5607570378867504e-5,7605,Lwri,0,50,50,0,1,5,male_Lwri
52,male,7.359682951952725e-5,0.01172977028540385,2.491436859895983e-4,1.5607570378867504e-5,7605,Lwri,0,50,50,0,1,5,male_Lwri
53,male,7.359682951952725e-5,0.01172977028540385,2.491436859895983e-4,1.5607570378867504e-5,7605,Lwri,0,50,50,0,1,5,male_Lwri
54,male,7.359682951952725e-5,0.01172977028540385,2.491436859895983e-4,1.5607570378867504e-5,7605,Lwri,0,50,50,0,1,5,male_Lwri
55,male,1.0446777741168867e-4,0.012156516815216463,2.5708611830782595e-4,1.5979599841431053e-5,6479,Lwri,0,50,55,0,1,5,male_Lwri
