age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_allc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,8.021473977397613e-4,7.212293163915837,0.5963922138762637,0.029660380214132778,6980,Allc,0,10,0,6,6,5,male_Allc
1,male,8.021473977397613e-4,7.212293163915837,0.5963922138762637,0.029660380214132778,6980,Allc,0,10,0,6,6,5,male_Allc
2,male,8.021473977397613e-4,7.212293163915837,0.5963922138762637,0.029660380214132778,6980,Allc,0,10,0,6,6,5,male_Allc
3,male,8.021473977397613e-4,7.212293163915837,0.5963922138762637,0.029660380214132778,6980,Allc,0,10,0,6,6,5,male_Allc
4,male,8.021473977397613e-4,7.212293163915837,0.5963922138762637,0.029660380214132778,6980,Allc,0,10,0,6,6,5,male_Allc
5,male,6.584619119600913e-5,6.538338367091502,0.7793052519010072,0.04238182568521334,6917,Allc,0,10,5,8,0,5,male_Allc
6,male,6.584619119600913e-5,6.538338367091502,0.7793052519010072,0.04238182568521334,6917,Allc,0,10,5,8,0,5,male_Allc
7,male,6.584619119600913e-5,6.538338367091502,0.7793052519010072,0.04238182568521334,6917,Allc,0,10,5,8,0,5,male_Allc
8,male,6.584619119600913e-5,6.538338367091502,0.7793052519010072,0.04238182568521334,6917,Allc,0,10,5,8,0,5,male_Allc
9,male,6.584619119600913e-5,6.538338367091502,0.7793052519010072,0.04238182568521334,6917,Allc,0,10,5,8,0,5,male_Allc
10,male,8.91404894475556e-5,5.235783831533694,0.834183657268262,0.05171782210350095,6234,Allc,0,50,10,42,1,5,male_Allc
11,male,8.91404894475556e-5,5.235783831533694,0.834183657268262,0.05171782210350095,6234,Allc,0,50,10,42,1,5,male_Allc
12,male,8.91404894475556e-5,5.235783831533694,0.834183657268262,0.05171782210350095,6234,Allc,0,50,10,42,1,5,male_Allc
13,male,8.91404894475556e-5,5.235783831533694,0.834183657268262,0.05171782210350095,6234,Allc,0,50,10,42,1,5,male_Allc
14,male,8.91404894475556e-5,5.235783831533694,0.834183657268262,0.05171782210350095,6234,Allc,0,50,10,42,1,5,male_Allc
15,male,2.1469580835212768e-4,4.892712221391051,0.902060334914476,0.07663605788300182,6436,Allc,0,50,15,45,1,5,male_Allc
16,male,2.1469580835212768e-4,4.892712221391051,0.902060334914476,0.07663605788300182,6436,Allc,0,50,15,45,1,5,male_Allc
17,male,2.1469580835212768e-4,4.892712221391051,0.902060334914476,0.07663605788300182,6436,Allc,0,50,15,45,1,5,male_Allc
18,male,2.1469580835212768e-4,4.892712221391051,0.902060334914476,0.07663605788300182,6436,Allc,0,50,15,45,1,5,male_Allc
19,male,2.1469580835212768e-4,4.892712221391051,0.902060334914476,0.07663605788300182,6436,Allc,0,50,15,45,1,5,male_Allc
20,male,3.970116206210817e-4,4.960163243464435,0.9287070937090307,0.08947915144684002,7845,Allc,0,50,20,46,3,5,male_Allc
21,male,3.970116206210817e-4,4.960163243464435,0.9287070937090307,0.08947915144684002,7845,Allc,0,50,20,46,3,5,male_Allc
22,male,3.970116206210817e-4,4.960163243464435,0.9287070937090307,0.08947915144684002,7845,Allc,0,50,20,46,3,5,male_Allc
23,male,3.970116206210817e-4,4.960163243464435,0.9287070937090307,0.08947915144684002,7845,Allc,0,50,20,46,3,5,male_Allc
24,male,3.970116206210817e-4,4.960163243464435,0.9287070937090307,0.08947915144684002,7845,Allc,0,50,20,46,3,5,male_Allc
25,male,5.005512151674027e-4,4.956858697106209,0.9556070544342135,0.10210392541817907,9023,Allc,0,50,25,48,5,5,male_Allc
26,male,5.005512151674027e-4,4.956858697106209,0.9556070544342135,0.10210392541817907,9023,Allc,0,50,25,48,5,5,male_Allc
27,male,5.005512151674027e-4,4.956858697106209,0.9556070544342135,0.10210392541817907,9023,Allc,0,50,25,48,5,5,male_Allc
28,male,5.005512151674027e-4,4.956858697106209,0.9556070544342135,0.10210392541817907,9023,Allc,0,50,25,48,5,5,male_Allc
29,male,5.005512151674027e-4,4.956858697106209,0.9556070544342135,0.10210392541817907,9023,Allc,0,50,25,48,5,5,male_Allc
30,male,6.468152457141187e-4,4.852182699298041,0.9655377092610661,0.11184897137440736,8448,Allc,0,50,30,48,5,5,male_Allc
31,male,6.468152457141187e-4,4.852182699298041,0.9655377092610661,0.11184897137440736,8448,Allc,0,50,30,48,5,5,male_Allc
32,male,6.468152457141187e-4,4.852182699298041,0.9655377092610661,0.11184897137440736,8448,Allc,0,50,30,48,5,5,male_Allc
33,male,6.468152457141187e-4,4.852182699298041,0.9655377092610661,0.11184897137440736,8448,Allc,0,50,30,48,5,5,male_Allc
34,male,6.468152457141187e-4,4.852182699298041,0.9655377092610661,0.11184897137440736,8448,Allc,0,50,30,48,5,5,male_Allc
35,male,8.804476156880096e-4,4.831929619143624,0.97181127487392,0.11999971525039764,7997,Allc,0,50,35,49,7,5,male_Allc
