age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_dmt2,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Dmt2,0,10,0,0,0,5,male_Dmt2
1,male,0,1e-8,0,0,6980,Dmt2,0,10,0,0,0,5,male_Dmt2
2,male,0,1e-8,0,0,6980,Dmt2,0,10,0,0,0,5,male_Dmt2
3,male,0,1e-8,0,0,6980,Dmt2,0,10,0,0,0,5,male_Dmt2
4,male,0,1e-8,0,0,6980,Dmt2,0,10,0,0,0,5,male_Dmt2
5,male,0,1e-8,0,0,6917,Dmt2,0,10,5,0,0,5,male_Dmt2
6,male,0,1e-8,0,0,6917,Dmt2,0,10,5,0,0,5,male_Dmt2
7,male,0,1e-8,0,0,6917,Dmt2,0,10,5,0,0,5,male_Dmt2
8,male,0,1e-8,0,0,6917,Dmt2,0,10,5,0,0,5,male_Dmt2
9,male,0,1e-8,0,0,6917,Dmt2,0,10,5,0,0,5,male_Dmt2
10,male,0,7.177394632811532e-4,8.224676557567597e-4,4.0890399213998694e-5,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
11,male,0,7.177394632811532e-4,8.224676557567597e-4,4.0890399213998694e-5,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
12,male,0,7.177394632811532e-4,8.224676557567597e-4,4.0890399213998694e-5,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
13,male,0,7.177394632811532e-4,8.224676557567597e-4,4.0890399213998694e-5,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
14,male,0,7.177394632811532e-4,8.224676557567597e-4,4.0890399213998694e-5,6234,Dmt2,0,50,10,0,0,5,male_Dmt2
15,male,7.334523049330729e-8,0.0029695108333962295,0.009553000819513765,5.008771055534902e-4,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
16,male,7.334523049330729e-8,0.0029695108333962295,0.009553000819513765,5.008771055534902e-4,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
17,male,7.334523049330729e-8,0.0029695108333962295,0.009553000819513765,5.008771055534902e-4,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
18,male,7.334523049330729e-8,0.0029695108333962295,0.009553000819513765,5.008771055534902e-4,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
19,male,7.334523049330729e-8,0.0029695108333962295,0.009553000819513765,5.008771055534902e-4,6436,Dmt2,0,50,15,0,0,5,male_Dmt2
20,male,1.292471417816147e-7,0.003158153784579592,0.026737727271943536,0.0014958316991166237,7845,Dmt2,0,50,20,1,0,5,male_Dmt2
21,male,1.292471417816147e-7,0.003158153784579592,0.026737727271943536,0.0014958316991166237,7845,Dmt2,0,50,20,1,0,5,male_Dmt2
22,male,1.292471417816147e-7,0.003158153784579592,0.026737727271943536,0.0014958316991166237,7845,Dmt2,0,50,20,1,0,5,male_Dmt2
23,male,1.292471417816147e-7,0.003158153784579592,0.026737727271943536,0.0014958316991166237,7845,Dmt2,0,50,20,1,0,5,male_Dmt2
24,male,1.292471417816147e-7,0.003158153784579592,0.026737727271943536,0.0014958316991166237,7845,Dmt2,0,50,20,1,0,5,male_Dmt2
25,male,2.2762396700345943e-7,0.001257413790613333,0.0366077335161546,0.002158137113704687,9023,Dmt2,0,50,25,2,0,5,male_Dmt2
26,male,2.2762396700345943e-7,0.001257413790613333,0.0366077335161546,0.002158137113704687,9023,Dmt2,0,50,25,2,0,5,male_Dmt2
27,male,2.2762396700345943e-7,0.001257413790613333,0.0366077335161546,0.002158137113704687,9023,Dmt2,0,50,25,2,0,5,male_Dmt2
28,male,2.2762396700345943e-7,0.001257413790613333,0.0366077335161546,0.002158137113704687,9023,Dmt2,0,50,25,2,0,5,male_Dmt2
29,male,2.2762396700345943e-7,0.001257413790613333,0.0366077335161546,0.002158137113704687,9023,Dmt2,0,50,25,2,0,5,male_Dmt2
30,male,9.703867878955403e-7,9.216180065129809e-4,0.04057778042482282,0.002503936758998834,8448,Dmt2,0,50,30,2,0,5,male_Dmt2
31,male,9.703867878955403e-7,9.216180065129809e-4,0.04057778042482282,0.002503936758998834,8448,Dmt2,0,50,30,2,0,5,male_Dmt2
32,male,9.703867878955403e-7,9.216180065129809e-4,0.04057778042482282,0.002503936758998834,8448,Dmt2,0,50,30,2,0,5,male_Dmt2
33,male,9.703867878955403e-7,9.216180065129809e-4,0.04057778042482282,0.002503936758998834,8448,Dmt2,0,50,30,2,0,5,male_Dmt2
34,male,9.703867878955403e-7,9.216180065129809e-4,0.04057778042482282,0.002503936758998834,8448,Dmt2,0,50,30,2,0,5,male_Dmt2
35,male,1.5390271409403542e-6,0.0011675306128494042,0.04428907154949262,0.0028375731022345593,7997,Dmt2,0,50,35,2,0,5,male_Dmt2
36,male,1.5390271409403542e-6,0.0011675306128494042,0.04428907154949262,0.0028375731022345593,7997,Dmt2,0,50,35,2,0,5,male_Dmt2
37,male,1.5390271409403542e-6,0.0011675306128494042,0.04428907154949262,0.0028375731022345593,7997,Dmt2,0,50,35,2,0,5,male_Dmt2
38,male,1.5390271409403542e-6,0.0011675306128494042,0.04428907154949262,0.0028375731022345593,7997,Dmt2,0,50,35,2,0,5,male_Dmt2
39,male,1.5390271409403542e-6,0.0011675306128494042,0.04428907154949262,0.0028375731022345593,7997,Dmt2,0,50,35,2,0,5,male_Dmt2
40,male,3.0575366208723294e-6,0.002745654268357944,0.05118831426899834,0.0033903767248414456,7179,Dmt2,0,50,40,3,0,5,male_Dmt2
41,male,3.0575366208723294e-6,0.002745654268357944,0.05118831426899834,0.0033903767248414456,7179,Dmt2,0,50,40,3,0,5,male_Dmt2
42,male,3.0575366208723294e-6,0.002745654268357944,0.05118831426899834,0.0033903767248414456,7179,Dmt2,0,50,40,3,0,5,male_Dmt2
43,male,3.0575366208723294e-6,0.002745654268357944,0.05118831426899834,0.0033903767248414456,7179,Dmt2,0,50,40,3,0,5,male_Dmt2
44,male,3.0575366208723294e-6,0.002745654268357944,0.05118831426899834,0.0033903767248414456,7179,Dmt2,0,50,40,3,0,5,male_Dmt2
45,male,1.1703804428801712e-5,0.0055514920581829375,0.07004433387911253,0.004781864765560638,7628,Dmt2,0,50,45,4,0,5,male_Dmt2
46,male,1.1703804428801712e-5,0.0055514920581829375,0.07004433387911253,0.004781864765560638,7628,Dmt2,0,50,45,4,0,5,male_Dmt2
47,male,1.1703804428801712e-5,0.0055514920581829375,0.07004433387911253,0.004781864765560638,7628,Dmt2,0,50,45,4,0,5,male_Dmt2
48,male,1.1703804428801712e-5,0.0055514920581829375,0.07004433387911253,0.004781864765560638,7628,Dmt2,0,50,45,4,0,5,male_Dmt2
49,male,1.1703804428801712e-5,0.0055514920581829375,0.07004433387911253,0.004781864765560638,7628,Dmt2,0,50,45,4,0,5,male_Dmt2
50,male,1.5790783496247874e-5,0.006698147948390307,0.09971096741712224,0.006837918350630085,7605,Dmt2,0,50,50,5,0,5,male_Dmt2
51,male,1.5790783496247874e-5,0.006698147948390307,0.09971096741712224,0.006837918350630085,7605,Dmt2,0,50,50,5,0,5,male_Dmt2
52,male,1.5790783496247874e-5,0.006698147948390307,0.09971096741712224,0.006837918350630085,7605,Dmt2,0,50,50,5,0,5,male_Dmt2
53,male,1.5790783496247874e-5,0.006698147948390307,0.09971096741712224,0.006837918350630085,7605,Dmt2,0,50,50,5,0,5,male_Dmt2
54,male,1.5790783496247874e-5,0.006698147948390307,0.09971096741712224,0.006837918350630085,7605,Dmt2,0,50,50,5,0,5,male_Dmt2
55,male,2.411434499959373e-5,0.006370328128488442,0.12964352807038537,0.008715821431998876,6479,Dmt2,0,50,55,6,0,5,male_Dmt2
56,male,2.411434499959373e-5,0.006370328128488442,0.12964352807038537,0.008715821431998876,6479,Dmt2,0,50,55,6,0,5,male_Dmt2
57,male,2.411434499959373e-5,0.006370328128488442,0.12964352807038537,0.008715821431998876,6479,Dmt2,0,50,55,6,0,5,male_Dmt2
58,male,2.411434499959373e-5,0.006370328128488442,0.12964352807038537,0.008715821431998876,6479,Dmt2,0,50,55,6,0,5,male_Dmt2
59,male,2.411434499959373e-5,0.006370328128488442,0.12964352807038537,0.008715821431998876,6479,Dmt2,0,50,55,6,0,5,male_Dmt2
60,male,5.050797592812052e-5,0.005815145359986304,0.15682735219158853,0.010304209905044302,5560,Dmt2,0,50,60,8,0,5,male_Dmt2
61,male,5.050797592812052e-5,0.005815145359986304,0.15682735219158853,0.010304209905044302,5560,Dmt2,0,50,60,8,0,5,male_Dmt2
62,male,5.050797592812052e-5,0.005815145359986304,0.15682735219158853,0.010304209905044302,5560,Dmt2,0,50,60,8,0,5,male_Dmt2
63,male,5.050797592812052e-5,0.005815145359986304,0.15682735219158853,0.010304209905044302,5560,Dmt2,0,50,60,8,0,5,male_Dmt2
64,male,5.050797592812052e-5,0.005815145359986304,0.15682735219158853,0.010304209905044302,5560,Dmt2,0,50,60,8,0,5,male_Dmt2
65,male,8.026407052443872e-5,0.005067755448006625,0.17891898710811333,0.01148230727077119,5418,Dmt2,0,50,65,9,0,5,male_Dmt2
66,male,8.026407052443872e-5,0.005067755448006625,0.17891898710811333,0.01148230727077119,5418,Dmt2,0,50,65,9,0,5,male_Dmt2
67,male,8.026407052443872e-5,0.005067755448006625,0.17891898710811333,0.01148230727077119,5418,Dmt2,0,50,65,9,0,5,male_Dmt2
68,male,8.026407052443872e-5,0.005067755448006625,0.17891898710811333,0.01148230727077119,5418,Dmt2,0,50,65,9,0,5,male_Dmt2
69,male,8.026407052443872e-5,0.005067755448006625,0.17891898710811333,0.01148230727077119,5418,Dmt2,0,50,65,9,0,5,male_Dmt2
70,male,1.38641744515808e-4,0.008898477723646832,0.20372687815381638,0.012933486924377947,4800,Dmt2,0,50,70,10,1,5,male_Dmt2
71,male,1.38641744515808e-4,0.008898477723646832,0.20372687815381638,0.012933486924377947,4800,Dmt2,0,50,70,10,1,5,male_Dmt2
72,male,1.38641744515808e-4,0.008898477723646832,0.20372687815381638,0.012933486924377947,4800,Dmt2,0,50,70,10,1,5,male_Dmt2
73,male,1.38641744515808e-4,0.008898477723646832,0.20372687815381638,0.012933486924377947,4800,Dmt2,0,50,70,10,1,5,male_Dmt2
74,male,1.38641744515808e-4,0.008898477723646832,0.20372687815381638,0.012933486924377947,4800,Dmt2,0,50,70,10,1,5,male_Dmt2
75,male,2.636661533126396e-4,0.016180216543765075,0.2595075242647756,0.016488058644981304,3332,Dmt2,0,50,75,13,1,5,male_Dmt2
