age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_carc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0,1e-8,0,0,6980,Carc,0,10,0,0,0,5,male_Carc
1,male,0,1e-8,0,0,6980,Carc,0,10,0,0,0,5,male_Carc
2,male,0,1e-8,0,0,6980,Carc,0,10,0,0,0,5,male_Carc
3,male,0,1e-8,0,0,6980,Carc,0,10,0,0,0,5,male_Carc
4,male,0,1e-8,0,0,6980,Carc,0,10,0,0,0,5,male_Carc
5,male,0,1e-8,0,0,6917,Carc,0,10,5,0,0,5,male_Carc
6,male,0,1e-8,0,0,6917,Carc,0,10,5,0,0,5,male_Carc
7,male,0,1e-8,0,0,6917,Carc,0,10,5,0,0,5,male_Carc
8,male,0,1e-8,0,0,6917,Carc,0,10,5,0,0,5,male_Carc
9,male,0,1e-8,0,0,6917,Carc,0,10,5,0,0,5,male_Carc
10,male,0,1e-8,0,0,6234,Carc,0,50,10,0,0,5,male_Carc
11,male,0,1e-8,0,0,6234,Carc,0,50,10,0,0,5,male_Carc
12,male,0,1e-8,0,0,6234,Carc,0,50,10,0,0,5,male_Carc
13,male,0,1e-8,0,0,6234,Carc,0,50,10,0,0,5,male_Carc
14,male,0,1e-8,0,0,6234,Carc,0,50,10,0,0,5,male_Carc
15,male,3.0032702772726816e-7,1.6418545146731871e-6,1.1691156576226189e-5,1.2997368182689389e-6,6436,Carc,0,50,15,0,0,5,male_Carc
16,male,3.0032702772726816e-7,1.6418545146731871e-6,1.1691156576226189e-5,1.2997368182689389e-6,6436,Carc,0,50,15,0,0,5,male_Carc
17,male,3.0032702772726816e-7,1.6418545146731871e-6,1.1691156576226189e-5,1.2997368182689389e-6,6436,Carc,0,50,15,0,0,5,male_Carc
18,male,3.0032702772726816e-7,1.6418545146731871e-6,1.1691156576226189e-5,1.2997368182689389e-6,6436,Carc,0,50,15,0,0,5,male_Carc
19,male,3.0032702772726816e-7,1.6418545146731871e-6,1.1691156576226189e-5,1.2997368182689389e-6,6436,Carc,0,50,15,0,0,5,male_Carc
20,male,1.1663652242604292e-6,7.45553223891954e-6,5.4025611688656567e-5,5.770333865787331e-6,7845,Carc,0,50,20,0,0,5,male_Carc
21,male,1.1663652242604292e-6,7.45553223891954e-6,5.4025611688656567e-5,5.770333865787331e-6,7845,Carc,0,50,20,0,0,5,male_Carc
22,male,1.1663652242604292e-6,7.45553223891954e-6,5.4025611688656567e-5,5.770333865787331e-6,7845,Carc,0,50,20,0,0,5,male_Carc
23,male,1.1663652242604292e-6,7.45553223891954e-6,5.4025611688656567e-5,5.770333865787331e-6,7845,Carc,0,50,20,0,0,5,male_Carc
24,male,1.1663652242604292e-6,7.45553223891954e-6,5.4025611688656567e-5,5.770333865787331e-6,7845,Carc,0,50,20,0,0,5,male_Carc
25,male,3.3134576231215685e-6,1.9372825657366726e-5,1.393495342580297e-4,1.427457925917328e-5,9023,Carc,0,50,25,0,0,5,male_Carc
26,male,3.3134576231215685e-6,1.9372825657366726e-5,1.393495342580297e-4,1.427457925917328e-5,9023,Carc,0,50,25,0,0,5,male_Carc
27,male,3.3134576231215685e-6,1.9372825657366726e-5,1.393495342580297e-4,1.427457925917328e-5,9023,Carc,0,50,25,0,0,5,male_Carc
28,male,3.3134576231215685e-6,1.9372825657366726e-5,1.393495342580297e-4,1.427457925917328e-5,9023,Carc,0,50,25,0,0,5,male_Carc
29,male,3.3134576231215685e-6,1.9372825657366726e-5,1.393495342580297e-4,1.427457925917328e-5,9023,Carc,0,50,25,0,0,5,male_Carc
30,male,8.245932964549046e-6,5.0048986445078046e-5,0.00035858916308848437,3.394951859061772e-5,8448,Carc,0,50,30,0,0,5,male_Carc
31,male,8.245932964549046e-6,5.0048986445078046e-5,0.00035858916308848437,3.394951859061772e-5,8448,Carc,0,50,30,0,0,5,male_Carc
32,male,8.245932964549046e-6,5.0048986445078046e-5,0.00035858916308848437,3.394951859061772e-5,8448,Carc,0,50,30,0,0,5,male_Carc
33,male,8.245932964549046e-6,5.0048986445078046e-5,0.00035858916308848437,3.394951859061772e-5,8448,Carc,0,50,30,0,0,5,male_Carc
34,male,8.245932964549046e-6,5.0048986445078046e-5,0.00035858916308848437,3.394951859061772e-5,8448,Carc,0,50,30,0,0,5,male_Carc
35,male,1.5174089915015135e-5,8.517407698641499e-5,6.146038208234238e-4,5.591501519754955e-5,7997,Carc,0,50,35,0,0,5,male_Carc
36,male,1.5174089915015135e-5,8.517407698641499e-5,6.146038208234238e-4,5.591501519754955e-5,7997,Carc,0,50,35,0,0,5,male_Carc
37,male,1.5174089915015135e-5,8.517407698641499e-5,6.146038208234238e-4,5.591501519754955e-5,7997,Carc,0,50,35,0,0,5,male_Carc
38,male,1.5174089915015135e-5,8.517407698641499e-5,6.146038208234238e-4,5.591501519754955e-5,7997,Carc,0,50,35,0,0,5,male_Carc
39,male,1.5174089915015135e-5,8.517407698641499e-5,6.146038208234238e-4,5.591501519754955e-5,7997,Carc,0,50,35,0,0,5,male_Carc
40,male,3.477285570911735e-5,1.8864537808532358e-4,0.0013560422527484415,1.1975169039813058e-4,7179,Carc,0,50,40,0,0,5,male_Carc
41,male,3.477285570911735e-5,1.8864537808532358e-4,0.0013560422527484415,1.1975169039813058e-4,7179,Carc,0,50,40,0,0,5,male_Carc
42,male,3.477285570911735e-5,1.8864537808532358e-4,0.0013560422527484415,1.1975169039813058e-4,7179,Carc,0,50,40,0,0,5,male_Carc
43,male,3.477285570911735e-5,1.8864537808532358e-4,0.0013560422527484415,1.1975169039813058e-4,7179,Carc,0,50,40,0,0,5,male_Carc
44,male,3.477285570911735e-5,1.8864537808532358e-4,0.0013560422527484415,1.1975169039813058e-4,7179,Carc,0,50,40,0,0,5,male_Carc
45,male,6.687085241337902e-5,2.872827051000519e-4,0.0020061039937147394,1.750238439711951e-4,7628,Carc,0,50,45,0,1,5,male_Carc
46,male,6.687085241337902e-5,2.872827051000519e-4,0.0020061039937147394,1.750238439711951e-4,7628,Carc,0,50,45,0,1,5,male_Carc
47,male,6.687085241337902e-5,2.872827051000519e-4,0.0020061039937147394,1.750238439711951e-4,7628,Carc,0,50,45,0,1,5,male_Carc
48,male,6.687085241337902e-5,2.872827051000519e-4,0.0020061039937147394,1.750238439711951e-4,7628,Carc,0,50,45,0,1,5,male_Carc
49,male,6.687085241337902e-5,2.872827051000519e-4,0.0020061039937147394,1.750238439711951e-4,7628,Carc,0,50,45,0,1,5,male_Carc
50,male,1.2728029817973997e-4,5.305738086259953e-4,0.0036892815851375274,3.0970187384053754e-4,7605,Carc,0,50,50,0,1,5,male_Carc
51,male,1.2728029817973997e-4,5.305738086259953e-4,0.0036892815851375274,3.0970187384053754e-4,7605,Carc,0,50,50,0,1,5,male_Carc
52,male,1.2728029817973997e-4,5.305738086259953e-4,0.0036892815851375274,3.0970187384053754e-4,7605,Carc,0,50,50,0,1,5,male_Carc
53,male,1.2728029817973997e-4,5.305738086259953e-4,0.0036892815851375274,3.0970187384053754e-4,7605,Carc,0,50,50,0,1,5,male_Carc
54,male,1.2728029817973997e-4,5.305738086259953e-4,0.0036892815851375274,3.0970187384053754e-4,7605,Carc,0,50,50,0,1,5,male_Carc
55,male,2.2223988469638792e-4,8.713548189693222e-4,0.005962863853862787,5.027576180256456e-4,6479,Carc,0,50,55,0,1,5,male_Carc
56,male,2.2223988469638792e-4,8.713548189693222e-4,0.005962863853862787,5.027576180256456e-4,6479,Carc,0,50,55,0,1,5,male_Carc
57,male,2.2223988469638792e-4,8.713548189693222e-4,0.005962863853862787,5.027576180256456e-4,6479,Carc,0,50,55,0,1,5,male_Carc
58,male,2.2223988469638792e-4,8.713548189693222e-4,0.005962863853862787,5.027576180256456e-4,6479,Carc,0,50,55,0,1,5,male_Carc
59,male,2.2223988469638792e-4,8.713548189693222e-4,0.005962863853862787,5.027576180256456e-4,6479,Carc,0,50,55,0,1,5,male_Carc
60,male,4.193808827611789e-4,0.0015251400658787566,0.010168296908417472,8.607424355579721e-4,5560,Carc,0,50,60,1,2,5,male_Carc
61,male,4.193808827611789e-4,0.0015251400658787566,0.010168296908417472,8.607424355579721e-4,5560,Carc,0,50,60,1,2,5,male_Carc
62,male,4.193808827611789e-4,0.0015251400658787566,0.010168296908417472,8.607424355579721e-4,5560,Carc,0,50,60,1,2,5,male_Carc
63,male,4.193808827611789e-4,0.0015251400658787566,0.010168296908417472,8.607424355579721e-4,5560,Carc,0,50,60,1,2,5,male_Carc
64,male,4.193808827611789e-4,0.0015251400658787566,0.010168296908417472,8.607424355579721e-4,5560,Carc,0,50,60,1,2,5,male_Carc
65,male,6.168657971287352e-4,0.002142826970242477,0.01402980154360368,0.001197578282541711,5418,Carc,0,50,65,1,3,5,male_Carc
66,male,6.168657971287352e-4,0.002142826970242477,0.01402980154360368,0.001197578282541711,5418,Carc,0,50,65,1,3,5,male_Carc
67,male,6.168657971287352e-4,0.002142826970242477,0.01402980154360368,0.001197578282541711,5418,Carc,0,50,65,1,3,5,male_Carc
68,male,6.168657971287352e-4,0.002142826970242477,0.01402980154360368,0.001197578282541711,5418,Carc,0,50,65,1,3,5,male_Carc
69,male,6.168657971287352e-4,0.002142826970242477,0.01402980154360368,0.001197578282541711,5418,Carc,0,50,65,1,3,5,male_Carc
70,male,9.226869085260157e-4,0.002878027882547338,0.018022792615865334,0.00155746508566892,4800,Carc,0,50,70,1,4,5,male_Carc
71,male,9.226869085260157e-4,0.002878027882547338,0.018022792615865334,0.00155746508566892,4800,Carc,0,50,70,1,4,5,male_Carc
72,male,9.226869085260157e-4,0.002878027882547338,0.018022792615865334,0.00155746508566892,4800,Carc,0,50,70,1,4,5,male_Carc
73,male,9.226869085260157e-4,0.002878027882547338,0.018022792615865334,0.00155746508566892,4800,Carc,0,50,70,1,4,5,male_Carc
74,male,9.226869085260157e-4,0.002878027882547338,0.018022792615865334,0.00155746508566892,4800,Carc,0,50,70,1,4,5,male_Carc
75,male,0.0014760153394758628,0.004070113795872855,0.023644898751970775,0.0021524167977550954,3332,Carc,0,50,75,1,5,5,male_Carc
76,male,0.0014760153394758628,0.004070113795872855,0.023644898751970775,0.0021524167977550954,3332,Carc,0,50,75,1,5,5,male_Carc
77,male,0.0014760153394758628,0.004070113795872855,0.023644898751970775,0.0021524167977550954,3332,Carc,0,50,75,1,5,5,male_Carc
78,male,0.0014760153394758628,0.004070113795872855,0.023644898751970775,0.0021524167977550954,3332,Carc,0,50,75,1,5,5,male_Carc
79,male,0.0014760153394758628,0.004070113795872855,0.023644898751970775,0.0021524167977550954,3332,Carc,0,50,75,1,5,5,male_Carc
80,male,0.0023562617939452244,0.0047092020958631724,0.021846687010121213,0.0022364160591542915,2291,Carc,0,20,80,0,5,5,male_Carc
81,male,0.0023562617939452244,0.0047092020958631724,0.021846687010121213,0.0022364160591542915,2291,Carc,0,20,80,0,5,5,male_Carc
82,male,0.0023562617939452244,0.0047092020958631724,0.021846687010121213,0.0022364160591542915,2291,Carc,0,20,80,0,5,5,male_Carc
83,male,0.0023562617939452244,0.0047092020958631724,0.021846687010121213,0.0022364160591542915,2291,Carc,0,20,80,0,5,5,male_Carc
84,male,0.0023562617939452244,0.0047092020958631724,0.021846687010121213,0.0022364160591542915,2291,Carc,0,20,80,0,5,5,male_Carc
85,male,0.003986088385395659,0.007969902970560664,0.03106704807140039,0.003562142678207474,1276,Carc,0,20,85,1,5,5,male_Carc
86,male,0.003986088385395659,0.007969902970560664,0.03106704807140039,0.003562142678207474,1276,Carc,0,20,85,1,5,5,male_Carc
87,male,0.003986088385395659,0.007969902970560664,0.03106704807140039,0.003562142678207474,1276,Carc,0,20,85,1,5,5,male_Carc
88,male,0.003986088385395659,0.007969902970560664,0.03106704807140039,0.003562142678207474,1276,Carc,0,20,85,1,5,5,male_Carc
89,male,0.003986088385395659,0.007969902970560664,0.03106704807140039,0.003562142678207474,1276,Carc,0,20,85,1,5,5,male_Carc
90,male,0.005126941417950983,0.010261505864690362,0.032501549905557196,0.004241723555233282,506,Carc,0,10,90,0,3,5,male_Carc
91,male,0.005126941417950983,0.010261505864690362,0.032501549905557196,0.004241723555233282,506,Carc,0,10,90,0,3,5,male_Carc
92,male,0.005126941417950983,0.010261505864690362,0.032501549905557196,0.004241723555233282,506,Carc,0,10,90,0,3,5,male_Carc
93,male,0.005126941417950983,0.010261505864690362,0.032501549905557196,0.004241723555233282,506,Carc,0,10,90,0,3,5,male_Carc
94,male,0.005126941417950983,0.010261505864690362,0.032501549905557196,0.004241723555233282,506,Carc,0,10,90,0,3,5,male_Carc
95,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
96,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
97,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
98,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
99,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
100,male,0.0061558997195300825,0.012319560082469191,0.015517931136638628,0.0031401349797484527,91,Carc,0,10,95,0,1,6,male_Carc
