age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_lvrc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Lvrc,0,10,0,0,0,5,female_Lvrc
1,female,0,1e-8,0,0,6598,Lvrc,0,10,0,0,0,5,female_Lvrc
2,female,0,1e-8,0,0,6598,Lvrc,0,10,0,0,0,5,female_Lvrc
3,female,0,1e-8,0,0,6598,Lvrc,0,10,0,0,0,5,female_Lvrc
4,female,0,1e-8,0,0,6598,Lvrc,0,10,0,0,0,5,female_Lvrc
5,female,1.7279674064598795e-7,6.471470036821557e-7,0,1.3680936483762354e-7,6603,Lvrc,0,10,5,0,0,5,female_Lvrc
6,female,1.7279674064598795e-7,6.471470036821557e-7,0,1.3680936483762354e-7,6603,Lvrc,0,10,5,0,0,5,female_Lvrc
7,female,1.7279674064598795e-7,6.471470036821557e-7,0,1.3680936483762354e-7,6603,Lvrc,0,10,5,0,0,5,female_Lvrc
8,female,1.7279674064598795e-7,6.471470036821557e-7,0,1.3680936483762354e-7,6603,Lvrc,0,10,5,0,0,5,female_Lvrc
9,female,1.7279674064598795e-7,6.471470036821557e-7,0,1.3680936483762354e-7,6603,Lvrc,0,10,5,0,0,5,female_Lvrc
10,female,3.0544999801824034e-7,1.1357331271804313e-6,0,2.440452394776376e-7,6051,Lvrc,0,50,10,0,0,5,female_Lvrc
11,female,3.0544999801824034e-7,1.1357331271804313e-6,0,2.440452394776376e-7,6051,Lvrc,0,50,10,0,0,5,female_Lvrc
12,female,3.0544999801824034e-7,1.1357331271804313e-6,0,2.440452394776376e-7,6051,Lvrc,0,50,10,0,0,5,female_Lvrc
13,female,3.0544999801824034e-7,1.1357331271804313e-6,0,2.440452394776376e-7,6051,Lvrc,0,50,10,0,0,5,female_Lvrc
14,female,3.0544999801824034e-7,1.1357331271804313e-6,0,2.440452394776376e-7,6051,Lvrc,0,50,10,0,0,5,female_Lvrc
15,female,1.0481770255208246e-6,4.635833384634228e-6,0,1.0017238516187905e-6,6338,Lvrc,0,50,15,0,0,5,female_Lvrc
16,female,1.0481770255208246e-6,4.635833384634228e-6,0,1.0017238516187905e-6,6338,Lvrc,0,50,15,0,0,5,female_Lvrc
17,female,1.0481770255208246e-6,4.635833384634228e-6,0,1.0017238516187905e-6,6338,Lvrc,0,50,15,0,0,5,female_Lvrc
